Product_name,Rating,Price,Discount_rate,Customer_reviews,Category,Sub_Category
Anti Snoring Corrector Magnetic Anti Snore Stop Snoring Nose Clip Easy Breathe Improve Sleep Aid Apnea Night Device With Case,4.1,249.0,72% off,15 Customer reviews,Sleep & Snoring,Snore Reducing Aids
3PCS/Set Tongue Scraper Stainless Steel Oral Cleaner Dental Care Kits,4.5,399.0,80% off,23 Customer reviews,Children's Dental Care,Dental Care Kits
25ml*4 Bottles Ladies Perfume Set Perfume Set Perfumes Flowers Different Fragrance Women Eau De Parfum Long Lasting Business Deodorants Gifts,4.5,998.0,50% off,2213 Customer reviews,Beauty,Fragrance
"Synthetic Long Straight Synthetic Wigs with headband - 24 Inch Black | Natural Look Soft and shiny (African Women, Quick Install, Birthday Gift,Lightweight)",4.5,1099.0,39% off,24 Customer reviews,Synthetic Wigs,Synthetic Lace Wigs
1Box 12 Colors 3D Flower Nail Charms With Rhinestones And Caviar Beads - Nail Art Decoration For Women And Girls Nail Art Accessories,4.8,389.0,77% off,43 Customer reviews,Beauty,Make Up
"6 Pcs Waterproof Black Flower Pattern Body Tattoo Stickers - Durable, Long-Lasting for 3-5 Days, Suitable for Men and Women on Arm, Chest, Tummy, Back",4.5,399.0,(-33%),6 Customer reviews,Beauty,Make Up
"Colored moisturizing lip balm lipstick moisturizing, moisturizing, diluting lip lines, anti-drying lip balm",4.3,199.0,80% off,150 Customer reviews,Beauty,Make Up
FBK Female Black Short Pixie Cut Straight Curly Hair Synthetic Wigs For Women Gift,4.1,599.0,(-70%),662 Customer reviews,Wigs,Other Wigs
Acrylic Nail Art Kit Crystal Nail 3D Nail Tips Carving Tools Acrylic Liquid Monomer Powder Pen Manicure Set,3.9,729.0,51% off,33 Customer reviews,Beauty,Nail Care Tool
"(50pcs for Safe-AQ) Sinocare Blood Glucose Test Strips and Lancets for Blood Sugar Tester 50pcs, No Meter",4.9,1199.0,(-42%),54 Customer reviews,Diabetes Care,Blood Glucose Monitors
Vagina Tightening Medicate Super Grip Madura Stick,4.2,599.0,(-99%),259 Customer reviews,Vitamins & Dietary Supplements,Supplements
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask-(Anti-acne kit),4.7,2039.0,59% off,467 Customer reviews,Face,Sets & Kits
Palmer's Cocoa Butter Formula Body Lotion / Oil Moisturizes Softens Body with Vitamin E,4.7,679.0,(-32%),26 Customer reviews,Body,Body Butter
RichRipple USB T9 Barber 6 Color Limit Comb Rechargeable Professional Barber Shaver Electric Hair and Beard Trimmer,4.5,429.0,(-85%),403 Customer reviews,Men's,Electric Shavers
"Sadoer Duo Set of Tumeric Anti Oxidation Turmeric Soap Bar + Turmeric Serum Anti Acnes, Like Vitamin C, it is Effective in Acne Removal, Pore Shrinking and Skin Tone Brightening",4.5,365.0,82% off,214 Customer reviews,Face,Facial Essence
ANNIVERSARY OFFER!! VEET GOLD Turmeric Oil Whitening & Brightening Body Oil/Tumeric oil,4.4,339.0,(-83%),43 Customer reviews,Body,Oils
Sex Lubricant Water Based Sex Lube Oil Long Lasting Lubricant Edible Fruit Flavor Massage Body 50ml Oil Anal Gel Adult Toys for Sex for Women Men Strawberry Flavor - Hot Kiss -,4.5,350.0,(-99%),115 Customer reviews,Sports Nutrition,Post-Workout & Recovery
The Ordinary Niacinamide 10% +Zinc 1% Anti Aging Serum serum.,4.5,455.0,(-54%),722 Customer reviews,Face,Facial Essence
Portable Dual Head Stethoscope Professional Cardiology Medical Stethoscope Doctor Medical Equipment Device Student Vet Nurse,4.3,399.0,77% off,17 Customer reviews,Health Monitors,Stethoscopes
"Disaar Hair Removing Cream, Unisex For Pubic Hair, Underarms, Private Parts, Sensitive Skin-Suitable For All Skin Types",4.3,245.0,(-51%),79 Customer reviews,Women's,"Shaving Creams, Lotions & Gels"
Stainless Steel Folding Knife With 10 Blades Barber Hair Removal Kit Clipper Men's Straight Hairdresser Razor Hair Removal Shaving Armpit Hair Pubic Hair Folding Razor Hair Removal Tool,4.7,449.0,80% off,90 Customer reviews,Men's,Razors & Blades
"Aloe Vera Foot Peeling Mask Exfoliating foot Mask, Remove Callus/Dead Skin Exfoliating Foot Mask Pedicure Exfoliating Heels Calluses Remove Foot Patches Dead Skin Remover Pedicure Socks Foot Care",4.7,199.0,80% off,69 Customer reviews,Foot & Hand Care,Foot Masks
Cordless Rechargeable Geemy Shaver GM-6008 AC+DC Professional Rechargeable Trimmer & Hair Clipper,4.8,1480.0,(-22%),9 Customer reviews,Hair Cutting Tools,Shear & Razor Cases
Makeup Bags Toiletry Bag Travel Cosmetic Waterproof Portable Storage Bag 30x12x21cm,4.9,359.0,(-81%),170 Customer reviews,Beauty,Make Up Tool & Accessories
